order_id,order_date
10248,1996-07-04
10254,1996-07-11
10269,1996-07-31
10297,1996-09-04
10320,1996-10-03
10333,1996-10-18
10358,1996-11-20
10359,1996-11-21
10372,1996-12-04
10378,1996-12-10
10397,1996-12-27
10463,1997-03-04
10474,1997-03-13
10477,1997-03-17
10529,1997-05-07
10549,1997-05-27
10569,1997-06-16
10575,1997-06-20
10607,1997-07-22
10648,1997-08-28
10649,1997-08-28
10650,1997-08-29
10654,1997-09-02
10675,1997-09-19
10711,1997-10-21
10714,1997-10-22
10721,1997-10-29
10730,1997-11-05
10761,1997-12-02
10812,1998-01-02
10823,1998-01-09
10841,1998-01-20
10851,1998-01-26
10866,1998-02-03
10869,1998-02-04
10870,1998-02-04
10872,1998-02-05
10874,1998-02-06
10899,1998-02-20
10922,1998-03-03
10954,1998-03-17
11043,1998-04-22
